1;Abbey Dubbel
2;Abbey Tripel
3;Abt/Quadrupel
4;Altbier
5;Amber Ale
6;American Barley Wine
7;American Dark Lager
8;American Pale Ale
9;American Strong Ale
10;Baltic Porter
11;Belgian Ale
12;Belgian Strong Ale
13;Belgian Wit
14;Berliner Weisse
15;Bière de Garde
16;Bitter
17;Black India Pale Ale
18;Bohemian Pilsner
19;Brown Ale
20;California Common
21;Classic German Pilsener
22;Doppelbock
23;Dortmunder/Helles
24;Dry Stout
25;Dunkel
26;Dunkler Bock
27;Eisbock
28;English Barley Wine
29;English Pale Ale
30;English Strong Ale
31;Faro
32;Foreign Stout
33;German Hefeweizen
34;German Kristallweizen
35;Golden Ale/Blond Ale
36;Gueuze
37;Heller Bock
38;Imperial Stout
39;Imperial/Double IPA
40;Imperial/Double Porter
41;India Pale Ale
42;Irish Ale
43;Kölch
44;Lambic - Fruit
45;Lambic – Unblended
46;Mild Ale
47;Oktoberfest/Märzen
48;Old Ale
49;Pale Lager
50;Pilsener
51;Premium Bitter/ESB
52;Premium Lager
53;Saison
54;Schwarzbier
55;Scotch Ale
56;Scottish Ale
57;Smoked
58;Sour Ale/Wild Ale
59;Specialty Grain
60;Spice/Herb/Vegetable
61;Stout
62;Strong Pale Lager/Imperial Pilsener
63;Sweet Stout
64;Traditional Ale
65;Vienna
66;Weizen Bock
67;Wheat Ale
68;Zwickel/Keller/Landbier
69;Porter
70;Abbey Blonde
71;Fruit Beer
72;Dunkelweizen
73;Low alcohol
74;Cream Ale
